"","elementary_lang"
"367","English"
"368","English"
"369","English"
"370","English"
"371","English"
"374","English"
"375","English"
"377","English"
"378","English"
"379","English"
"380","English"
"382","English"
"383","English"
"385","English"
"386","English"
"388","English"
"389","English"
"392","English"
"393","English"
"394","English"
"395","English"
"399","English"
"400","English"
"401","English"
"403","English"
"404","English"
"405","English"
"406","English"
"409","English"
"411","English"
"413","Pohnpeian"
"414","English"
"416","English"
"418","English"
"420","Pohnpeian"
"423","English"
"426","English"
"428","English"
"429","English"
"432","Kapingamarangi"
"434","English"
"435","Pohnpeian"
"438","English"
"439","English"
"440","English"
"442","English"
"443","English"
"445","English"
"446","English"
"447","English"
"448","Pohnpeian"
"449","Pohnpeian"
"450","English"
"453","Pohnpeian"
"454","English"
"458","Japanese"
"460","English"
"464","Pohnpeian"
"466","Tagalog"
"467","Pohnpeian"
"468","English"
"469","English"
"470","Tagalog"
"480","English"
"482","English"
"484","Pohnpeian"
"489","Pohnpeian"
"490","Mwokilese"
"493","Pohnpeian"
"494","English"
"495","English"
"496","English"
"499","Pohnpeian"
"506","Pohnpeian"
"507","Pohnpeian"
"508","English"
"512","Pohnpeian"
"513","English"
"514","English"
"515","English"
"520","English"
"531","English"
"534","English"
"536","Chuukese"
"538","English"
"542","English"
"543","English"
"544","English"
"546","English"
"547","Yapese"
"548","Kosraean"
"549","Kosraean"
"553","English"
"554","Pohnpeian"
"558","English"
"560","English"
"564","English"
"565","English"
"566","Tagalog"
"569","English"
"576","Kosraean"
"577","Pohnpeian"
"586","English"
"593","English"
"594","English"
"600","Pohnpeian"
"602","Pohnpeian"
"721","Mortlockese"
"765","English"
"791","Pohnpeian"
"848","Outer Island Yapese"
"903","English"
"1092","English"
