questionnaire_id,L1,number_L1,L2_well,number_L2_well,L2_little,number_L2_little,language_mother,mother_english,language_father,father_english,languages_want_know_better,elementary_lang,elementary_lang_coded,hs_lang,hs_lang_coded,college_lang,family_lang,friends_lang,foreigners_lang,work_lang,school_lang,home_lang
25200,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,"Pohnpeian,Meing"
64201,Pohnpeian,1,English,1,Chuukese,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,"Pohnpeian,English",Pohnpeian,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,English",Pohnpeian
36238,Japanese,1,"Pohnpeian,English",2,"Pingelapese,Kapingamarangi",2,Japanese,0,"Japanese,Pohnpeian",0,"Spanish,Chinese",Japanese,Non-English,"Japanese,English",Bilingual,,"Pohnpeian,Japanese","English,Pohnpeian,Japanese",English,Pohnpeian,Japanese,"Pohnpeian,Japanese"
55007,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,"English,Pohnpeian",Bilingual,,None,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
46024,Pohnpeian,1,,0,English,1,Pohnpeian,0,"Pohnpeian,Mortlockese",0,"English,Mortlockese","English,Pohnpeian",Bilingual,,None,,Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
27999,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,English,English,,None,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
56255,Pohnpeian,1,"English,Chuukese",2,"Pingelapese,Mwokilese,Ngatikese",3,Pohnpeian,0,Chuukese,0,"Japanese,French,Chinese","Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,"Pohnpeian,Chuukese",Pohnpeian,English,"Pohnpeian,Pingelapese,Mwokilese,English,Chuukese","Pohnpeian,English","Pohnpeian,Chuukese"
46367,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,"Japanese,English","Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,"Pohnpeian,English","Pohnpeian,English",Pohnpeian,Pohnpeian
58727,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,English,English,English,English,Pohnpeian
24655,Pohnpeian,1,,0,English,1,"Pohnpeian,English",1,Pohnpeian,0,"Pohnpeian,English","Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,"Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
28753,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,"Pohnpeian,English,Japanese",Pohnpeian,Non-English,,None,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
48907,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,English,English,,None,,Pohnpeian,Pohnpeian,English,Pohnpeian,English,Pohnpeian
20225,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
59048,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
53250,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,"Pohnpeian,English",Pohnpeian,English,"Pohnpeian,English",Pohnpeian,Pohnpeian
20335,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,"English,Japanese,Korean","Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,,Pohnpeian,Pohnpeian,,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
47229,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,English,English,,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian
28288,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,"English,Korean,Tagalog","Pohnpeian,English",Bilingual,English,English,,Pohnpeian,Pohnpeian,,"English,Pohnpeian",Pohnpeian,Pohnpeian
27713,Mortlockese,1,Pohnpeian,1,English,1,"Mortlockese,Pohnpeian",0,"Pohnpeian,Mortlockese",0,English,"Mortlockese,English",Bilingual,,None,,Mortlockese,Mortlockese,"Mortlockese,English",Mortlockese,Mortlockese,"Mortlockese,Pohnpeian"
41156,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,English,"English,Pohnpeian",Pohnpeian,Pohnpeian
21089,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
