questionnaire_id,L1,number_L1,L2_well,number_L2_well,L2_little,number_L2_little,language_mother,mother_english,language_father,father_english,languages_want_know_better,elementary_lang,elementary_lang_coded,hs_lang,hs_lang_coded,college_lang,family_lang,friends_lang,foreigners_lang,work_lang,school_lang,home_lang
47321,Chuukese,1,"English,Pohnpeian",2,,0,"English,Chuukese",1,"English,Chuukese",1,,"Chuukese,English",Bilingual,English,English,English,Chuukese,"Chuukese,Pohnpeian,English",English,English,English,"Chuukese,English"
47892,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,"Pohnpeian,English",Bilingual,,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,Pohnpeian
48060,Urdu,1,"Punjabi,English",2,Pohnpeian,1,"Punjabi,Urdu",0,"Punjabi,Urdu",0,Pohnpeian,Urdu,Non-English,"Urdu,English",Bilingual,"Urdu,English","Urdu,English","Urdu,English",English,English,English,English
48364,English,1,,0,Pohnpeian,1,"Tagalog,English,Pohnpeian",1,"English,Pohnpeian",1,Mwokilese,English,English,English,English,,English,English,English,,English,English
48849,Yapese,1,English,1,Outer Island Yapese,1,Yapese,0,Yapese,0,,English,English,English,English,English,English,English,English,English,English,Yapese
49578,Pohnpeian,1,"Kosraean,English,Mortlockese",3,Chuukese,1,"Pohnpeian,English,Kosraean,Mortlockese",1,"Kosraean,Pohnpeian,English",1,Meing,English,English,English,English,English,"Pohnpeian,English","English,Pohnpeian",English,"English,Pohnpeian","English,Pohnpeian","Pohnpeian,English"
49746,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,,Pohnpeian,Non-English,,None,,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,Pohnpeian
50259,Kosraean,1,English,1,Pohnpeian,1,"Kosraean,English,Pohnpeian",1,"Kosraean,English,Pohnpeian",1,,"English,Kosraean",Bilingual,English,English,English,Kosraean,Kosraean,English,,"Kosraean,English",Kosraean
51150,Pingelapese,1,"Mwokilese,English",2,Pohnpeian,1,"Pohnpeian,Pingelapese",0,"Pohnpeian,Pingelapese",0,Pohnpeian,"Pingelapese,Pohnpeian",Non-English,"English,Pohnpeian",Bilingual,English,Pingelapese,"Pingelapese,Pohnpeian,English",English,"English,Pohnpeian","English,Pohnpeian",Pingelapese
51615,Mortlockese,1,Pohnpeian,1,Pingelapese,1,Mortlockese,0,Mortlockese,0,,Mortlockese,Non-English,Pohnpeian,Non-English,English,Mortlockese,Pohnpeian,English,"Pohnpeian,English",Pohnpeian,Mortlockese
52276,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,,English,English,English,English,English,"Pohnpeian,English",Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
52309,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,,Pohnpeian,Non-English,"English,Pohnpeian",Bilingual,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
52503,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,,Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,"English,Pohnpeian",Pohnpeian
52585,Mortlockese,1,Pohnpeian,1,English,1,"Mortlockese,English",1,"Mortlockese,Pohnpeian,English",1,,Mortlockese,Non-English,Pohnpeian,Non-English,English,"Mortlockese,Pohnpeian","Mortlockese,Pohnpeian",English,,"Mortlockese,Pohnpeian","Mortlockese,Pohnpeian"
54547,Pohnpeian,1,English,1,Kosraean,1,"Pohnpeian,English",1,"Pohnpeian,English,Kosraean",1,,English,English,"English,Pohnpeian",Bilingual,"English,Pohnpeian,Tagalog",English,Pohnpeian,English,"English,Pohnpeian","Pohnpeian,English","English,Pohnpeian"
57159,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,,Pohnpeian,Non-English,English,English,English,Pohnpeian,"English,Pohnpeian",English,,"Pohnpeian,English",Pohnpeian
57371,Kosraean,1,English,1,Visayan,1,"Kosraean,English",1,"Kosraean,English",1,,Tagalog,Non-English,"Kosraean,English",Bilingual,English,"Kosraean,English","Kosraean,English",English,English,"Kosraean,English",Kosraean
57996,Pohnpeian,1,English,1,Mortlockese,1,"Pohnpeian,Mortlockese",0,Pohnpeian,0,,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,"English,Pohnpeian",Pohnpeian,Pohnpeian,English,"Pohnpeian,English","English,Pohnpeian",
58657,Kosraean,1,English,1,Pohnpeian,1,Kosraean ,0,"Kosraean,Japanese",0,,Kosraean,Non-English,English,English,English,Kosraean,"English,Kosraean",English,English,English,Kosraean
59361,English,1,Pohnpeian,1,Ngatikese,1,"English,Pohnpeian",1,"English,Pohnpeian,Ngatikese",1,,English,English,English,English,English,"English,Pohnpeian",Pohnpeian,English,Pohnpeian,"English,Pohnpeian","English,Pohnpeian"
59420,Pohnpeian,1,English,1,Chuukese,1,Mwokilese,0,Pohnpeian,0,,English,English,English,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,English,Pohnpeian
59701,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,,Pohnpeian,Non-English,Pohnpeian,Non-English,,Pohnpeian,,English,"English,Pohnpeian",Pohnpeian,Pohnpeian
59896,English,1,"Pohnpeian,Chuukese",2,,0,"English,Chuukese",1,"English,Chuukese",1,,English,English,English,English,English,"English,Chuukese","Pohnpeian,English,Chuukese",English,,English,"English,Chuukese"
59917,Kosraean,1,English,1,,0,Kosraean ,0,Kosraean,0,,English,English,English,English,English,Kosraean,"Kosraean,English",English,English,Kosraean,Kosraean
60543,Pohnpeian,1,"Chuukese,English",1,Spanish,1,,0,Pohnpeian,0,,"Pohnpeian,English",Bilingual,English,English,English,,"English,Pohnpeian",English,"Pohnpeian,English",English,English
60573,Pohnpeian,1,English,1,"Kosraean,Chuukese,Yapese",3,Pohnpeian,0,"Pohnpeian,English",1,,"Pohnpeian,English",Bilingual,"English,Pohnpeian",Bilingual,English,Pohnpeian,"Pohnpeian,English",English,,"English,Pohnpeian",Pohnpeian
60692,Pohnpeian,1,English,1,Mwokilese,1,"Pohnpeian,Mwokilese,English",1,"Pohnpeian,English",1,,English,English,"English,Pohnpeian",Bilingual,English,Pohnpeian,"Pohnpeian,English",English,"English,Pohnpeian","English,Pohnpeian",Pohnpeian
60731,Pingelapese,1,"Kosraean,Mwokilese,Pohnpeian",3,English,1,"Pingelapese,Kosraean",0,"Pingelapese,Kosraean,Marshallese,Mwokilese",0,,English,English,English,English,English,"Pingelapese,Kosraean","Pingelapese,English,Kosraean",English,"Pohnpeian,English,Kosraean",English,Pingelapese
60986,English,1,,0,"Japanese,Pohnpeian",2,"Palauan,English,Pohnpeian",1,"Palauan,Japanese,English,Pohnpeian",1,"Palauan,Japanese,English,Pohnpeian,Chuukese,Yapese,Kosraean",English,English,English,English,"English,Pohnpeian","English,Japanese",English,English,"English,Japanese","English,Japanese","English,Japanese"
61273,English,1,,0,Pohnpeian,1,Pohnpeian,0,Pohnpeian,0,,English,English,English,English,English,English,English,English,English,English,English
61822,Mwokilese,1,,0,"English,Pohnpeian",2,"Pohnpeian,English,Mwokilese",1,"Pohnpeian,Mwokilese,English",1,,Pohnpeian,Non-English,English,English,English,Mwokilese,Pohnpeian,English,,Pohnpeian,Mwokilese
63943,Pohnpeian,1,English,1,Kosraean,1,Pohnpeian,0,Pohnpeian,0,,"English,Pohnpeian",Bilingual,English,English,English,Pohnpeian,"Pohnpeian,English",English,Pohnpeian,"English,Pohnpeian",Pohnpeian
64912,Pohnpeian,1,English,1,Chuukese,1,"Chuukese,Pohnpeian",0,"Chuukese,Pohnpeian",0,,Pohnpeian,Non-English,"Pohnpeian,English",Bilingual,English,Pohnpeian,Pohnpeian,English,"English,Pohnpeian",English,Pohnpeian
65523,Chuukese,1,"Pohnpeian,English",2,Japanese,1,"Chuukese,Pohnpeian",0,"Chuukese,Pohnpeian",0,,"Chuukese,Pohnpeian,English",Bilingual,English,English,English,"Chuukese,English,Pohnpeian","Chuukese,English,Pohnpeian",English,English,"English,Pohnpeian","Chuukese,Pohnpeian,English"
