"","school_lang"
"469","English"
"470","English"
"474","English"
"483","English"
"490","English"
"495","English"
"496","Pohnpeian"
"497","Pohnpeian"
"503","Pohnpeian"
"505","Pohnpeian"
"506","Pohnpeian"
"507","Pohnpeian"
"508","English"
"510","Pohnpeian"
"511","Pohnpeian"
"516","Pohnpeian"
"520","English"
"522","Pohnpeian"
"523","Pohnpeian"
"524",""
"526","Pohnpeian"
"528","English"
"531","English"
"537","English"
"538","Pohnpeian"
"539","English"
"540","English"
"541","Pohnpeian"
"543","Pohnpeian"
"547","English"
"548","Kosraean"
"549","Pohnpeian"
"550","Pohnpeian"
"554","Pohnpeian"
"558","Pohnpeian"
"560","Kosraean"
"562","English"
"564","English"
"565","Pohnpeian"
"574","Pohnpeian"
"576","English"
"577","Pohnpeian"
"579","English"
"581","Pohnpeian"
"582","Pohnpeian"
"583","English"
"584","English"
"585","English"
"586","Pohnpeian"
"588","Pohnpeian"
"594","Pohnpeian"
"595","Pohnpeian"
"597","Japanese"
"600","Pohnpeian"
"602","Pohnpeian"
"721","Mortlockese"
"797","English"
"798","English"
"808","Marshallese"
"817","Mwokilese"
"838","Pohnpeian"
"848","Outer Island Yapese"
"1109","Palauan"
"1118","Pingelapese"
"1410","Chuukese"
