"","work_lang"
"550","Pohnpeian"
"554","Pohnpeian"
"555","Pohnpeian"
"558","Pohnpeian"
"560","Kosraean"
"562","English"
"563","Pohnpeian"
"564","English"
"565","English"
"568","Pohnpeian"
"574","Pohnpeian"
"577","Pohnpeian"
"578","English"
"579","English"
"583","Pohnpeian"
"586","English"
"590","Pohnpeian"
"593","English"
"595","Pohnpeian"
"596","English"
"597","Japanese"
"601","Pohnpeian"
"650","Mwokilese"
"793","Chuukese"
"838","Chuukese"
"850","English"
"897","Kosraean"
"951","English"
"1252","Chuukese"
