questionnaire_id,L1,number_L1,L2_well,number_L2_well,L2_little,number_L2_little,language_mother,mother_english,language_father,father_english,languages_want_know_better,elementary_lang,elementary_lang_coded,hs_lang,hs_lang_coded,college_lang,family_lang,friends_lang,foreigners_lang,work_lang,school_lang,home_lang
30940,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,Pohnpeian,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,"Pohnpeian,English",English,English,English,Pohnpeian
56384,Pohnpeian,1,"English,Nukuoran",2,,0,Pohnpeian,0,Pohnpeian,0,"English,Japanese","Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Pohnpeian,"Pohnpeian,English",English,Pohnpeian,"Pohnpeian,English",Pohnpeian
48808,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,"Pohnpeian,English","Pohnpeian,English",Bilingual,English,English,"Pohnpeian,English",Pohnpeian,Pohnpeian,English,"Pohnpeian,English",Pohnpeian,Pohnpeian
60411,Ngatikese,1,"English,Pohnpeian",2,,0,Ngatikese,0,Ngatikese,0,"Pohnpeian,English","Pohnpeian,English",Bilingual,English,English,English,Ngatikese,"Ngatikese,Pohnpeian",English,"Pohnpeian,Ngatikese","Pohnpeian,English",Pohnpeian
27383,Pohnpeian,1,,0,English,0,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,,None,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
61548,Ngatikese,1,"English,Pohnpeian",1,,0,Ngatikese,0,Ngatikese,0,"Pohnpeian,English",Ngatikese,Non-English,English,English,English,Ngatikese,Ngatikese,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
21476,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,,Pohnpeian,Non-English,"Pohnpeian,English",Bilingual,English,Pohnpeian,Pohnpeian,English,,,"Pohnpeian,Meing"
53398,Pohnpeian,1,"English,Chuukese",2,,0,Pohnpeian,0,"Pohnpeian,Chuukese",0,Japanese,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,"Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
45304,Pohnpeian,1,,0,Kosraean,1,Pohnpeian,0,Pohnpeian,0,Chuukese,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,,English,Pohnpeian
58133,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,Yapese,"Pohnpeian,English",Bilingual,English,English,,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,Pohnpeian
17608,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
50923,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,English,,Pohnpeian,Pohnpeian
64658,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,Latin,"Pohnpeian,English",Bilingual,"English,Japanese",English,"English,Japanese",Pohnpeian,"Pohnpeian,English",English,,"Pohnpeian,English",Pohnpeian
25970,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
51392,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
24958,Pohnpeian,1,English,1,,0,"Pohnpeian,English",1,"Pohnpeian,English,Japanese",1,Japanese,English,English,English,English,English,Pohnpeian,"Pohnpeian,English",Pohnpeian,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
16197,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,Pohnpeian,,None,,None,,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
23927,Pohnpeian,1,English,1,Mortlockese,1,Pohnpeian,0,Pohnpeian,0,Samoan,"Pohnpeian,English",Bilingual,English,English,,Pohnpeian,"Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
57376,Pohnpeian,1,Chuukese,1,,0,Pohnpeian,0,Chuukese,0,Arabic,Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
24853,Pohnpeian,1,Pingelapese,1,,0,"Pohnpeian,Pingelapese",0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,"Pohnpeian,Meing"
63635,Pohnpeian,1,English,1,"Mwokilese,Ngatikese",2,Pohnpeian,0,Pohnpeian,0,"Spanish,Japanese,Chinese",Pohnpeian,Non-English,English,English,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English",English,"Pohnpeian,Meing"
58496,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,"English,Pohnpeian",Bilingual,"Pohnpeian,English",Bilingual,,Pohnpeian,Pohnpeian,English,English,"Pohnpeian,English",Pohnpeian
46980,Pohnpeian,1,English,1,,0,"Pohnpeian,English",1,"Pohnpeian,English",1,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
43043,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,,English ,English,,None,,Pohnpeian,Pohnpeian,English,Pohnpeian,"Pohnpeian,English",Pohnpeian
42504,Pohnpeian,1,English,1,"Japanese,Korean",2,"Pohnpeian,English,Mwortlockese",1,"Japanese,Pohnpeian,English",1,Japanese,"Pohnpeian,English",Bilingual,English,English,,"Japanese,Pohnpeian","Pohnpeian,English","English,Japanese",,"Pohnpeian,English","Pohnpeian,Japanese"
43275,English,1,Pohnpeian,1,Korean,1,"Pohnpeian,English",1,English,1,Chinese,English,English,English,English,,"Pohnpeian,English","Pohnpeian,English",English,English,"Pohnpeian,English","Pohnpeian,English"
60429,Pohnpeian,1,English,1,,0,Pohnpeian,0,"Pohnpeian,English",1,"Meing,English","Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,"Pohnpeian,English","Pohnpeian,Meing"
47942,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,Pohnpeian,Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,"Pohnpeian,Meing"
49398,"Mortlockese,Pohnpeian",2,English,1,,0,Pohnpeian,0,Mortlockese,0,Meing,"English,Pohnpeian,Mortlockese",Bilingual,"English,Pohnpeian",Bilingual,English,"Pohnpeian,Mortlockese","Pohnpeian,Mortlockese",English,"Pohnpeian,English","English,Pohnpeian,Mortlockese",Pohnpeian
24236,Pohnpeian,1,,,English,1,Pohnpeian,0,Pohnpeian,0,"Meing,Pohnpeian,English",Pohnpeian,Non-English,"Pohnpeian,English",Bilingual,English,Pohnpeian,Pohnpeian,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,English","Pohnpeian,English"
50521,Pohnpeian,1,,0,,0,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,,None,,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,Pohnpeian
37166,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,Japanese,"Pohnpeian,English",Bilingual,"English,Pohnpeian",Bilingual,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English",English,Pohnpeian
31990,Pohnpeian,1,English,1,"Marshallese,Mwokilese",2,Pohnpeian,0,Pohnpeian,0,Meing,Pohnpeian,Non-English,English,English,English,"Pohnpeian,Mwokilese",Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,Meing"
45905,Pohnpeian,1,English,1,,0,Pohnpeian,0,"Pohnpeian,English",1,Carolinian,English,English,English,English,,Pohnpeian,"Pohnpeian,English",English,English,English,Pohnpeian
52214,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,Chuukese,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,Pohnpeian,"Pohnpeian,English",Pohnpeian
57367,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,,English,English,English,English,English,Pohnpeian,"Pohnpeian,English",English,Pohnpeian,English,Pohnpeian
31846,Pohnpeian,1,English,1,"Kapingamarangi,Mwokilese,Pingelapese",3,Pohnpeian,0,Pohnpeian,0,,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,Meing"
35796,Pohnpeian,1,"Ngatikese,English",2,,0,Pohnpeian,0,Pohnpeian,0,Kosraean,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
27015,Kapingamarangi,1,"Pohnpeian,English",2,Kosraean,1,Kapingamarangi,0,Kapingamarangi,0,Palauan,English,English,"Pohnpeian,English",Bilingual,English,"Pohnpeian,Kapingamarangi","Pohnpeian,English,Kapingamarangi",English,,English,Pohnpeian
52388,English,1,Pohnpeian,1,Chuukese,1,Pohnpeian,0,Pohnpeian,0,Pohnpeian,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
56954,Kapingamarangi,1,"Pohnpeian,English",2,,0,Kapingamarangi,0,Kapingamarangi,0,Chuukese,"English,Kapingamarangi",Bilingual,English,English,English,Kapingamarangi,"Pohnpeian,Kapingamarangi",English,,English,"Pohnpeian,English"
52325,Kapingamarangi,1,,0,"English,Pohnpeian",2,Kapingamarangi,0,Kapingamarangi,0,Pohnpeian,English,English,English,English,,Kapingamarangi,"Kapingamarangi,English",English,,English,Kapingamarangi
47472,Pingelapese,1,,0,"Pohnpeian,English",2,Pingelapese,0,Pingelapese,0,English,"Pohnpeian,English",Bilingual,English,English,English,"Pingelapese,Pohnpeian","Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English","Pingelapese,Pohnpeian"
21499,Kapingamarangi,1,,0,"Pohnpeian,English",2,Kapingamarangi,0,Kapingamarangi,0,English,"English,Pohnpeian",Bilingual,"English,Pohnpeian",Bilingual,,Kapingamarangi,"Kapingamarangi,English",English,,"English,Pohnpeian",Kapingamarangi
27020,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,Spanish,Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian
19657,Pohnpeian,1,English,1,Spanish,1,Pohnpeian,0,,0,Korean,Pohnpeian,Non-English,Pohnpeian,Non-English,"Tagalog,English,Pohnpeiaan",Pohnpeian,"English,Pohnpeian",English,English,"English,Pohnpeian",Pohnpeian
44372,Pohnpeian,1,,0,English,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,English,English,,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
25075,Pohnpeian,1,English,0,,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,"English,Pohnpeian",Bilingual,,Pohnpeian,"Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,Meing"
18526,Pohnpeian,1,"English,Kosraean",2,Mwokilese,1,Kosraean,0,Pohnpeian,0,"Pingelapese,Ngatikese,Nukuoran,Kapingamarangi","Pohnpeian,English",Bilingual,"English,Pohnpeian",Bilingual,English,"English,Pohnpeian","Pohnpeian,English",English,Pohnpeian,"Pohnpeian,English",Pohnpeian
36676,Mwokilese,1,"Pohnpeian,English",2,,0,Mwokilese,0,Mwokilese,0,Meing,English,English,English,English,English,Mwokilese,"Mwokilese,Pohnpeian,English",English,English,English,"Mwokilese,Pohnpeian"
51062,Pohnpeian,1,English,1,Mwokilese,1,Pohnpeian,0,Pohnpeian,0,,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,Pohnpeian,Pohnpeian,English,Pohnpeian,"Pohnpeian,English",Pohnpeian
60518,Pohnpeian,1,,0,English,1,"Pohnpeian,Japanese",0,"Pohnpeian,English,Chuukese,Palauan,Mwokilese",1,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
