"","family_lang"
"289","Pohnpeian"
"290","English"
"291","Kosraean"
"293","Pohnpeian"
"294","Pohnpeian"
"295","Pingelapese"
"296","English"
"297","English"
"298","Mwokilese"
"299","Pohnpeian"
"300","Pohnpeian"
"301","Chuukese"
"344","English"
"345","Japanese"
"349","Chuukese"
"357","English"
"370","Meing"
"376","English"
"378","Chuukese"
"416","Pohnpeian"
"417","English"
"420","Mortlockese"
"424","Mwokilese"
"430","Kapingamarangi"
"434","Pohnpeian"
"440","Pohnpeian"
"462","Chuukese"
"464","Marshallese"
"469","Mwokilese"
"474","Pohnpeian"
"479","Pohnpeian"
"480","Mwokilese"
"481","English"
"483","English"
"485","English"
"488","English"
"491","English"
"492","Chuukese"
"493","Ulithian"
"494","Mwokilese"
"496","Pohnpeian"
"501","English"
"503","Pohnpeian"
"508","English"
"511","Pohnpeian"
"513","English"
"516","Pingelapese"
"520","English"
"521","Kosraean"
"522","Pohnpeian"
"526","Pohnpeian"
"528","English"
"529","Mortlockese"
"530","English"
"531","Mortlockese"
"533","Satawalese"
"538","English"
"541","Pohnpeian"
"542","English"
"543","Marshallese"
"544","English"
"546","Pohnpeian"
"547","English"
"549","English"
"550","English"
"554","English"
"555","Kosraean"
"556","Chuukese"
"558","English"
"563","Pohnpeian"
"568","Mortlockese"
"571","English"
"574","English"
"579","English"
"582","Pohnpeian"
"585","English"
"588","Pohnpeian"
"591","Chuukese"
"596","Kosraean"
"597","Japanese"
"602","English"
"793","English"
"794","Palauan"
"795","English"
"817","English"
"821","Japanese"
"822","Chinese"
"848","Outer Island Yapese"
"903","Pohnpeian"
"1095","Japanese"
"1122","Tagalog"
