questionnaire_id,age,sex,birth_location,citizenship,current_muni,time_fsm,time_pni,pni_current_place,travelled_abroad,education,elementary_type,hs_type,children,meing,making_friends,being_successful,good_education,happy_relationships,getting_money,reading,writing,radio,tv,accepted_pni,talking_teachers,talking_villages,funerals,kamadipw,sakau,facebook,talking_kolonia,talking_chief,talking_gov,good_job,friends_school,church,store,talking_neighbors,us_relatives,local_lang,english_more_import_local,english_smarter,eng_pni_diff,learn_pni_first,pni_more_import_eng,pni_jobs_pni,pni_jobs_abroad,eng_jobs_abroad,eng_jobs_pni,many_lang_easy,many_lang_important,one_lang_life_diff,eng_more_import_pni,sad.pni.no.pni,sad_pni_no_eng,sad_pni_abroad,sad_eng_abroad,youths_bad_pni,youths_bad_eng,micros_need_eng,pnis_need_eng,kolonia_need_eng,all_lang_live_together,pni_unfashionable,eng_more_val_pni,micro_youth_like_eng,micro_older_like_eng,mehn_wai_need_learn_pni,pni_youth_like_pni,pni_older_like_pni,pni_important_pni,pni_simpler_eng,choose_pni,choose_eng,feel_positive_pni,to_be_pni_speak_pni,cant_pni_no_pni,quiet,stupid,loud,kindhearted,feminine,masculine,honest,modern,attractive,successful,peaceful,violent,young,poor,old,rich,pretentious,proud,respectful,wise,patriotic,cultured,showoffs,humble,generous,uneducated,current_village,badtempered
59917,18 -- 24,Female,Kosrae State,FSM,Sokehs,10 - 19 years,0 - 4 years,0 - 4 years,Yes,"Some college, no degree",Public school,Public school,0,Not at all,English,English,English,English,English,English,English,Kosraean,Kosraean,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Kosraean,English,English,English,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Really disagree,Disagree somewhat,Really agree,Really agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Really agree,Agree somewhat,Really agree,Really disagree,Disagree somewhat,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Really agree,Disagree somewhat,Really agree,Really disagree,Really agree,Really disagree,NA,Disagree somewhat
60543,35 -- 44,Female,Pohnpei State,FSM,Nett,20 - 29 years,20 - 29 years,0 - 4 years,Yes,Bachelor's degree,Public school,Public school,0,Somewhat well,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Really disagree,Really disagree,Really disagree,NA,Really disagree
60573,18 -- 24,Female,Pohnpei State,FSM,Kitti,10 - 19 years,10 - 19 years,10 - 19 years,Yes,"High school, diploma, or GED",Public school,Public school,0,Well,English,English,English,English,English,English,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree somewhat,Really disagree,Really disagree,Really agree,Really disagree,Really disagree,Really agree,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Really disagree,Agree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Disagree somewhat,Really agree,Agree somewhat,Really agree,Really agree,Really disagree,Agree somewhat,Agree somewhat,Really disagree,NA,Really disagree
60692,18 -- 24,Male,Pohnpei State,FSM,Kitti,20 - 29 years,20 - 29 years,10 - 19 years,No,Associate degree,Private school,Public school,0,Somewhat well,English,English,English,English,English,English,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Really disagree,Really disagree,Really disagree,Really agree,Really disagree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Disagree somewhat,Really agree,Really agree,Really agree,Disagree somewhat,Disagree somewhat,Really agree,Really agree,Really agree,Really agree,Really agree,Disagree somewhat,Really agree,Really agree,Really agree,NA,Really disagree
60731,35 -- 44,Male,Pohnpei State,FSM,Sokehs,30 - 39 years,30 - 39 years,30 - 39 years,Yes,Associate degree,Private school,Private school,0,Not at all,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pingelapese,Pohnpeian,Pingelapese,Pohnpeian,English,English,Pingelapese,Pohnpeian,Pingelapese,Pingelapese,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree somewhat,Really disagree,Disagree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Really disagree,NA,Really disagree
60986,18 -- 24,Male,Pohnpei State,Palau,Nett,20 - 29 years,20 - 29 years,20 - 29 years,Yes,Associate degree,Private school,Private school,0,Not at all,Other,Other,Other,Other,Other,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Other,Other,Pohnpeian,English,Other,Other,English,English,Other,English,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree somewhat,Really disagree,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Really agree,Disagree somewhat,Agree somewhat,Agree somewhat,Really disagree,NA,Disagree somewhat
61273,18 -- 24,Male,US Mainland,USA,Nett,0 - 4 years,0 - 4 years,0 - 4 years,Yes,"Some college, no degree",Public school,Public school,0,Not at all,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Really disagree,Really disagree,Really disagree,Really agree,Really disagree,Really disagree,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Agree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Really agree,Really agree,Agree somewhat,Really agree,Really disagree,Really agree,Really agree,Really disagree,NA,Really disagree
61822,35 -- 44,Female,Pohnpei State,FSM,Sokehs,30 - 39 years,30 - 39 years,30 - 39 years,No,"Some college, no degree",Public school,Public school,3,Not at all,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Really disagree,NA,Really disagree
63943,25 -- 34,Female,Pohnpei State,FSM,Uh,20 - 29 years,20 - 29 years,20 - 29 years,Yes,"Some college, no degree",Public school,Public school,2,Not at all,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Really disagree,Really disagree,Agree somewhat,Really agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,NA,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,NA,Disagree somewhat
64912,35 -- 44,Male,Pohnpei State,FSM,Nett,40 or more years,40 or more years,40 or more years,No,"Some college, no degree",Public school,Public school,1,Well,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,NA,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree somewhat,Really disagree,Agree somewhat,Really agree,Really disagree,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Really agree,Really disagree,Really agree,Really agree,Agree somewhat,NA,Agree somewhat
65523,25 -- 34,Female,Pohnpei State,FSM,Sokehs,20 - 29 years,20 - 29 years,20 - 29 years,Yes,Associate degree,Public school,Public school,0,Somewhat well,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Chuukese,English,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Really agree,Disagree somewhat,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Really agree,Really disagree,Disagree somewhat,Agree somewhat,Disagree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Really agree,Agree somewhat,Disagree somewhat,Really agree,Disagree somewhat,Really agree,Really agree,Agree somewhat,NA,Really disagree
1,18 -- 24,Male,Yap State,FSM,Nett,10 - 19 years,5 - 9 years,0 - 4 years,Yes,"Some high school, no diploma",Private school,Public school,0,Not at all,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Other,English,English,English,English,English,English,English,English,English,Other,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree somewhat,Disagree somewhat,Really agree,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Mabusi,NA
10,18 -- 24,Female,Yap State,FSM,Nett,10 - 19 years,10 - 19 years,5 - 9 years,Yes,"Some college, no degree",Private school,Private school,0,Very well,Pohnpeian,,,Pohnpeian,,Pingelapese,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,,Pohnpeian,,Pohnpeian,,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,,Agree,Agree,,Agree,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,,Agree,Agree,,,Agree,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Really agree,NA,Really agree,NA,NA,NA,NA,Likinikel,NA
11,25 -- 34,Male,US Mainland,USA,Sokehs,10 - 19 years,10 - 19 years,0 - 4 years,Yes,"High school, diploma, or GED",Public school,Private school,3,Somewhat well,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Really disagree,Really disagree,Really disagree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Really disagree,Really disagree,Really disagree,Disagree somewhat,Disagree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Disagree somewhat,Disagree somewhat,Agree somewhat,Really agree,Really disagree,Disagree somewhat,Really disagree,Really disagree,Palikir,NA
12,35 -- 44,Male,Pohnpei State,FSM,Sokehs,40 or more years,40 or more years,20 - 29 years,Yes,Bachelor's degree,Public school,Public school,4,Well,Pohnpeian,English,English,English,English,English,English,English,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really disagree,Disagree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Really disagree,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Really disagree,Ipat_Sokehs,NA
13,18 -- 24,Male,Pohnpei State,FSM,Nett,20 - 29 years,20 - 29 years,20 - 29 years,Yes,Associate degree,Private school,Private school,0,Somewhat well,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree somewhat,Really disagree,Agree somewhat,Really agree,Really disagree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really agree,Agree somewhat,Agree somewhat,Agree somewhat,Really agree,Agree somewhat,Agree somewhat,Really agree,Nett,NA
14,35 -- 44,Male,US Mainland,USA,Uh,10 - 19 years,10 - 19 years,0 - 4 years,Yes,Bachelor's degree,Public school,Public school,1,Somewhat well,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree somewhat,Really disagree,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Really agree,Agree somewhat,Disagree somewhat,Agree somewhat,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Awak Pah,NA
15,45 -- 54,Male,US Mainland,USA,Nett,10 - 19 years,10 - 19 years,5 - 9 years,Yes,Master's degree,Public school,Public school,0,Not at all,English,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,English,English,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree somewhat,Really disagree,Really disagree,Agree somewhat,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Really agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Really disagree,Really disagree,Really agree,Agree somewhat,Agree somewhat,Agree somewhat,Really disagree,Really agree,Really agree,Really disagree,Kolonia,NA
16,25 -- 34,Female,US Mainland,USA,Nett,0 - 4 years,0 - 4 years,0 - 4 years,Yes,"Professional degree (JD, MD, etc.)",Private school,Public school,0,Not at all,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree somewhat,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Kolonia,NA
17,25 -- 34,Female,US Mainland,USA,Nett,0 - 4 years,0 - 4 years,0 - 4 years,Yes,Bachelor's degree,Public school,Public school,0,Not at all,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Other,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree somewhat,Really disagree,Disagree somewhat,Agree somewhat,Really disagree,Really disagree,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Really disagree,Really agree,Really agree,Really agree,Really agree,Really agree,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Kolonia,NA
18,25 -- 34,Female,US Mainland,USA,Madolenihmw,10 - 19 years,10 - 19 years,5 - 9 years,Yes,Master's degree,Private school,Private school,1,Not at all,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree somewhat,Really disagree,Disagree somewhat,Agree somewhat,Really disagree,Really disagree,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Wapar,NA
19,18 -- 24,Female,Pohnpei State,FSM,Madolenihmw,10 - 19 years,10 - 19 years,10 - 19 years,Yes,"High school, diploma, or GED",Public school,Private school,0,Somewhat well,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree somewhat,Disagree somewhat,Really disagree,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Really disagree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Madolenihmw,NA
2,35 -- 44,Male,Philippines,Philippines,Nett,10 - 19 years,10 - 19 years,10 - 19 years,Yes,Bachelor's degree,Public school,Private school,2,Not at all,English,English,English,Other,English,English,English,English,Mokilese,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,English,English,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree somewhat,Really disagree,Really disagree,Agree somewhat,Really disagree,Really disagree,Agree somewhat,Agree somewhat,NA,Agree somewhat,Agree somewhat,Really disagree,Agree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Nett,NA
20,35 -- 44,Male,Chuuk State,FSM,Sokehs,20 - 29 years,5 - 9 years,0 - 4 years,Yes,"Professional degree (JD, MD, etc.)",Public school,Private school,3,Not at all,English,English,English,Chuukese,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,English,English,Chuukese,English,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Agree somewhat,Really disagree,Agree somewhat,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Agree somewhat,Really disagree,Agree somewhat,Agree somewhat,Really disagree,Nahnpohnmal_sokehs,NA
