"","making_friends","being_successful","good_education","happy_relationships","getting_money","reading","writing","radio","tv","accepted_pni","talking_teachers","talking_villages","funerals","kamadipw","sakau","facebook","talking_kolonia","talking_chief","talking_gov","good_job","friends_school","church","store","talking_neighbors","us_relatives"
"22","Pohnpeian","English","English","Pingelapese","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","Pohnpeian","Pingelapese","Pohnpeian","Pingelapese","Pingelapese"
"23","English","English","Pohnpeian","Mokilese","English","English","English","Pohnpeian","English","Pohnpeian","English","Pohnpeian","Mokilese","Mokilese","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","English","Mokilese","Mokilese","Mokilese","Mokilese"
"24","Other","Other","English","Other","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Other","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","Other","English","English","Other","English","English"
"25","Pohnpeian","English","English","Other","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
"26","English","English","English","English","English","English","English","Pohnpeian","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","English","English","Pohnpeian","Pohnpeian","English"
"27","English","English","English","Pohnpeian","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Other","English","Pohnpeian","Pohnpeian","English","English","English","English","Pohnpeian","Pohnpeian","English"
"28","Pohnpeian","English","English","Pohnpeian","Pohnpeian","English","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
"29","Pohnpeian","English","English","Pohnpeian","English","English","English","Pohnpeian","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Chuukese","Chuukese"
"30","Pohnpeian","Pohnpeian","English","Pohnpeian","English","English","Pohnpeian","Pohnpeian","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","English","Pohnpeian","Pohnpeian","Pohnpeian","English"
"31","English","English","English","English","English","English","English","Pohnpeian","English","Pohnpeian","English","Pohnpeian","Pingelapese","Pingelapese","Pingelapese","Pingelapese","Pohnpeian","Pingelapese","English","English","Pingelapese","Pingelapese","Pingelapese","Pingelapese","Pingelapese"
"32","English","English","English","English","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Mokilese","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","English","Mokilese","Pohnpeian","Pohnpeian","Mokilese"
"33","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
"34","English","English","English","Pohnpeian","English","English","English","English","English","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","English","Pohnpeian","Pohnpeian","Pohnpeian","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
"35","English","Pohnpeian","English","Pohnpeian","Pohnpeian","English","English","Pohnpeian","English","Pohnpeian","English","English","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian","Pohnpeian"
