"","friends_lang"
"1","Pohnpeian"
"2","Pohnpeian"
"3","Pohnpeian"
"4","Pohnpeian"
"5","Pohnpeian"
"6","Pohnpeian"
"7","Pohnpeian"
"8","Pohnpeian"
"9","Pohnpeian"
"10","Pohnpeian"
"11","Pohnpeian"
"12","Pohnpeian"
"13","Pohnpeian"
"14","Pohnpeian"
"15","Pohnpeian"
"16","Pohnpeian"
"17","Pohnpeian"
"18","Pohnpeian"
"19","Pohnpeian"
"20","Pohnpeian"
"21","Pohnpeian"
"22","Pohnpeian"
"23","Pohnpeian"
"24","Pohnpeian"
"25","Pohnpeian"
"26","Pohnpeian"
"27","Pohnpeian"
"28","Pohnpeian"
"29","Pohnpeian"
"30","Pohnpeian"
"31","Pohnpeian"
"32","Pohnpeian"
"33","Pohnpeian"
"34","Pohnpeian"
"35","Pohnpeian"
"36","Pohnpeian"
"37","Pohnpeian"
"38","Pohnpeian"
"39","Pohnpeian"
"40","Pohnpeian"
"41","Pohnpeian"
"42","Pohnpeian"
"43","Pohnpeian"
"44","English"
"45","Pohnpeian"
"46","Pohnpeian"
"47","Pohnpeian"
"48","Pohnpeian"
"49","Pohnpeian"
"50","English"
"51","Pohnpeian"
"52","Pohnpeian"
"53","Pohnpeian"
"54","Pohnpeian"
"55","Pohnpeian"
"56","Pohnpeian"
"57","Pohnpeian"
"58","Pohnpeian"
"59","Pohnpeian"
"60","Mortlockese"
"61","Pohnpeian"
"62","Pohnpeian"
"63","Pohnpeian"
"64","Pohnpeian"
"65","Pohnpeian"
"66","Pohnpeian"
"67","Pohnpeian"
"68","Pohnpeian"
"69","Pohnpeian"
"70","Pohnpeian"
"71","Pohnpeian"
"72","Pohnpeian"
"73","Pohnpeian"
"75","Pohnpeian"
"76","Pohnpeian"
"77","Pohnpeian"
"78","English"
"79","Pohnpeian"
"80","Pohnpeian"
"81","Pohnpeian"
"82","Pohnpeian"
"83","Pohnpeian"
"84","Pohnpeian"
"85","Pohnpeian"
"86","Pohnpeian"
"87","Pohnpeian"
"88","Pohnpeian"
"89","Pohnpeian"
"90","Pohnpeian"
"91","Pohnpeian"
