questionnaire_id,age,sex,birth_location,home_island,home_village,citizenship,current_muni,current_village,time_fsm,time_pni,pni_current_place,travelled_abroad,travel_location,education,elementary_type,hs_type,children,occupation,occupation_mother,occupation_father,mother_islandvill,father_islandvill,lang1,lang_well,lang_little,meing,lang_mother,lang_father,lang_children,lang_better,elem_lang,hs_lang,lang_college,family_lang,friends_lang,foreign_lang,word_lang,school_lang,home_lang,making_friends,being_successful,good_education,happy_relationships,getting_money,reading,writing,radio,tv,accepted_pni,talking_teachers,talking_villages,funerals,kamadipw,sakau,facebook,talking_kolonia,talking_chief,talking_gov,good_job,friends_school,church,store,talking_neighbors,us_relatives,local_lang,english_more_import_local,english_smarter,eng_pni_diff,learn_pni_first,pni_more_import_eng,pni_jobs_pni,pni_jobs_abroad,eng_jobs_abroad,eng_jobs_pni,many_lang_easy,many_lang_important,one_lang_life_diff,eng_more_import_pni,sad.pni.no.pni,sad_pni_no_eng,sad_pni_abroad,sad_eng_abroad,youths_bad_eng,youths_bad_pni,micros_need_eng,pnis_need_eng,kolonia_need_eng,all_lang_live_together,pni_unfashionable,eng_more_val_pni,micro_youth_like_eng,micro_older_like_eng,mehn_wai_need_learn_pni,pni_youth_like_pni,pni_older_like_pni,pni_important_pni,pni_simpler_eng,choose_pni,choose_eng,feel_positive_pni,to_be_pni_speak_pni,cant_pni_no_pni,quiet,stupid,loud,kindhearted,feminine,masculine,honest,modern,attractive,successful,peaceful,violent,young,poor,old,rich,pretentious,proud,respectful,wise,patriotic,cultured,showoffs,humble,generous,uneducated,desc_pni,desc_eng
21,25 -- 34,Female,Pohnpei State,Pohnpei,Kitti,FSM,Kitti,Toamwoaroahlong,30 - 39 years,30 - 39 years,30 - 39 years,Yes,2 weeks in the Philippines,Associate degree,Public school,Private school,0,Public Relations,Housewife,Church Administrator,"Salapwuk, Pohnpei","Toamwoaroahlong, Kitti",Pohnpeian,"English, Chuukese",None,Somewhat well,Pohnpeian,Pohnpeian/English,Native language and English,Yapese and Kosraen ,Pohnpeian/English,English,English,Pohnpeian,Pohnpeian/English/Chuukese,English,English/Pohnpeian,English,Pohnpeian,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,2,4,4,3,3,4,4,4,4,4,3,4,2,4,4,2,2,4,4,4,4,2,4,4,2,"Confusing, Heritage-bound, Hard, Beautiful, Best","World wide connectivity, easy, hard, too much, nice"
22,18 -- 24,Female,Pohnpei State,Pohnpei,"Dipision, Kolonia",FSM,Nett,Kolonia,20 - 29 years,20 - 29 years,20 - 29 years,No,,Associate degree,Private school,Public school,1,Administrative Clerk,House wife,Port Control Officer,"Pohnpei, Nett","Pohnpei, Kolonia",Pohnpeian,English,Mortlockese,Somewhat well,"Mortlockese, Pohnpeian, English","Ngatikese, Pohnpeian, English","Pohnpeian, English, Japanese, Chinese",Japanese,English,Pohnpeian and English,English,Pohnpeian and English,Pohnpeian and English,English,Pohnpeian and English,Pohnpeian and English,Pohnpeian and english,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"difficult, ",
23,35 -- 44,Male,Pohnpei State,Pohnpei,"Awak, U",FSM,Uh,Awak,30 - 39 years,30 - 39 years,30 - 39 years,Yes,"New Zealand 4years, Honolulu Hawaii 6 months, Japan 8 months, Fiji 6 months",Bachelor's degree,Both,Public school,5,Conservation,House wife,Associate Judge,"Pohnpei, U","Pohnpei, U",Pohnpeian,English & Japanese,"Fijian, Palauan, Kosraen & Chuukese",Very well,Pohnpeian,Pohnpeian,Pohnpeian & English,English,English & Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English ,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,1,1,2,3,1,1,2,1,1,1,3,1,1,1,2,1,1,1,2,1,2,2,4,3,2,1,"eeasy, useful, powerful, appropriate & cool","complicated, useful, appropriate, different & loved"
24,45 -- 54,Female,RMI,Pohnpei,Wone,USA,Kitti,WOne,20 - 29 years,20 - 29 years,0 - 4 years,Yes,"I travel for work regularly.  I have traveled extensively in Asia/Pacific (all FSM states, Palau Marshall Islands, Fij, New Zealand, Australia, Vanuatu, Samoa, Manila, Bangkok...) Also US and Europe (Paris, London, Rotterdam) and to Peru",Master's degree,Public school,Private school,2,Conservation Finance,Teaching (behavior and learning disabilities),Teaching (high school English literature),American (Maine),American (Ohio),English & Marshallese,Pohnpeian,French,Somewhat well,English and some French and Marshalese,English and some Marshalese,English and Pohnpeian ,Meing and French,English,English & French (in French class),English & French (in French literature class),Mostly Pohnpeian - English with my children,English and Pohnpeian,English,English and Pohnpeian,No longer in school,Pohneian and English,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,2,1,2,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,1,"Expressive, complex, lyrical, respectful, multi-layered ","Direct, concise, mixed-origins, inconsistent, complicated "
25,35 -- 44,Female,Other,-,-,Other,Nett,Kolonia,0 - 4 years,0 - 4 years,0 - 4 years,Yes,"Around the world, ten months",Master's degree,Both,Private school,0,Teacher,Secretary,Teacher,-,-,Finnish,English,Swedish,Not at all,"Finnish, little English and Swedish","Finnish, little English and Swedish",I have no children,Pohnpeian,Finnish,Finnish,Finnish,Finnish,"Finnish, English",English,English,-,English,English,English,English,English,English,English,English,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,English,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,1,1,4,3,2,2,2,2,3,3,3,1,3,2,3,2,1,1,3,3,3,3,1,3,4,3,Soft sounded,Full of exceptions
26,65 -- 74,Female,US Mainland,PNI,U,USA,Uh,,20 - 29 years,20 - 29 years,10 - 19 years,Yes,"INDIA, NEPAL = 12 YEARS","Professional degree (JD, MD, etc.)",Public school,Public school,1,RETIRED ATTORNEY,HOUSEWIFE/DIETICIAN,PHARMACIST,USA,USA,ENGLISH,"NEPALESE, FRENCH","POHNPEIAN, ITALIAN, TIBETAN, CHINESE, JAPANESE",Not at all,ENGLISH,ENGLISH,"ENGLISH, POHNPEIAN",POHNPEIAN,ENGLISH,"ENGLISH, FRENCH IN FRENCH CLASS","ENGLISH, FRENCH, ITALIAN, RUSSIAN, CHINESE (IN LANGUAGE CLASSES)",ENGLISH,"ENGLISH, JAPANESE","ENGLISH, JAPANESE",ENGLISH,ENGLISH,ENGLISH,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,English,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"INTERESTING, COMPLICATED, PRETTY, HUMOROUS, FRIENDLY","DIFFICULT, COMPLICATED, USEFUL, CHANGING, EXPRESSIVE"
27,45 -- 54,Female,Chuuk State,Polowat ,Rewou,FSM,Nett,Nett,20 - 29 years,10 - 19 years,10 - 19 years,Yes,"US Mainland, Hawaii, Australia, Guam from 1 week to 3 weeks ",Master's degree,Public school,Public school,0,Director ,None ,None ,"Polowat, Rewou","Kosrae, Tofol ",Chuukese ,English and Outer Island Yapease ,Pohnpeian ,Not at all,"Chuukese, Outer Island Yapease, Kosraean ","English, Chuukese, Kosraean, Outer island Yapease, little Japanese",Not applicable ,Pohnpeian ,Chuukese,English and Chuukese ,English ,Chuukese and Enlish ,English and Chuukese ,English ,English ,not applicable ,Chuukese and English ,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian,English,English,English,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Similar to Chuukese and easy,"More words/expressions, direct & easy"
28,25 -- 34,Male,Pohnpei State,Pohnnpei,wone,FSM,Kitti,wone,,,0 - 4 years,Yes,"Philippines, 2 trips in 1992 & 2000 4 months the longest","Some college, no degree",Public school,Public school,0,Carpenter ,housewife,electrician,"kitti, wone","philippines,pampanga",pohnpeian,filipino,,Somewhat well,pohnpei,"english,pohnpei","english,pohnpei,filipino",filipino,"english,pohnpei","english,pohnpei",english,pohnpei,pohnpei,english,pohnpei,pohnpei,pohnpei,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,1,1,2,3,3,3,2,3,4,3,4,2,3,2,3,3,3,3,4,3,2,4,3,4,4,2,"apwal,koasoamwpwal,pisetik,oaralap,unigue","easy, p"
29,25 -- 34,Male,Hawaii,Pohnpei,Sapwoahn,USA,Sokehs,Sapwoahn,20 - 29 years,20 - 29 years,20 - 29 years,Yes,"Guam, Hawaii, Chicago, and North Carolina",Associate degree,Public school,Public school,2,Administrative Specialist,Finance Management Specialist,Taxi Driver,"Sapwoahn, Pohnpei","Sapwoahn, Pohnpei",Pingelapese,"Pohnpeian, Enlish","Pohnpeian, English",Somewhat well,"Pingelapese, Pohnpeian, English","Pingelapese, Pohnpeian, English","Pingelapese, Pohnpeian, English","Pohnpeian, English","Pingelapese, Mwoakilese, Pohnpeian, English","Pohnpeian, English",English,Pingelapese,"Pingelapese, Pohnpeian, English",English,"Pohnpei, English","Pohnpei, English",Pingelapese,Pohnpeian,English,English,Pingelapese,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pingelapese,Pohnpeian,Pingelapese,Pingelapese,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,1,1,4,3,1,1,3,3,3,3,3,1,1,1,1,1,1,3,3,3,4,4,1,3,4,1,"Respectful, Pride, Generous, Kind, Historic, ","Education, Realistic, Smart, Pride, Modern"
30,18 -- 24,Male,Pohnpei State,Palau,Kolonia,Palau,Nett,Kolonia,20 - 29 years,20 - 29 years,20 - 29 years,Yes,Guam and Saipan - 3 weeks each,Associate degree,Private school,Private school,0,Administrative Specialist,Unemployed,Scuba Diving Instructor,"Palau, Koror",Japan. Tokyo,English,None,Japanese,Not at all,"English, Palauan, Pohnpeian","English, Japanese, Pohnpeian, Palauan","English, Japanese, Pohnpeian, ","Japanese, Spanish, Pohnpeian, Chuukese, Yapese, Palauan, Italian, Russian",English,English,"English, Pohnpeian","Japanese, English",English,English,English,English,"English, Japanese",Other,Other,English,Other,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Other,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Other,English,English,Other,English,English,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,2,1,2,3,2,3,3,3,2,3,3,2,2,1,2,1,2,3,3,3,3,3,2,3,3,1,"Cultural, Unique, Important, ","Important, Difficult if ESL, "
31,45 -- 54,Male,Pohnpei State,Pohnpei,Palikir,FSM,Nett,Kolonia,30 - 39 years,40 or more years,40 or more years,Yes,"Usually work related to China, Australia, US, South Pacific.  Longest travel was to US for 4 years","Some college, no degree",Public school,Public school,5,Engineer,Homemaker,Judge,"Chuuk, Udot","Pohnpei, Palikir",Pohnpeian,"English, Chuukese, ","Kosraean, Chamorro",Very well,"Pohnpeian, Chuukese, English","Pohnpeian, English","Pohnpeian, English",Chinese,English,English,,Pohnpeian and Chuukese or English depending on who,"Pohnpeian, Chuukese, English-depends on who",English,"English, Pohnpeian, Chuukese",N/A,"Pohnpeian, Chuukese",Pohnpeian,English,English,Other,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Simple. Uncomplicated. Forward. Influenced by foreign words,Rich. Ambiguous. Complicated. Mixed up. Ever changing.
32,35 -- 44,Male,Yap State,mogmog,,FSM,Nett,nanpohnmal,30 - 39 years,20 - 29 years,5 - 9 years,Yes,Hawaii. 9 years,Bachelor's degree,Both,Private school,3,IT specialist,Librarian/College adimistrator,Fisheries executive,the village of Saranac Lake on the island of New York :),"Mogmog, Ulithi",Ulithian,English and Pohnpeian,Chuukese,Somewhat well,"English, ulithian","ulithian, English",Their choice,sign language,both english and pohnpeian,english,english,"english, ulithian, palauan, and japanese",english/pohnpeian,english,english,english,"english, ulithian, palauan, and japanese",English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,English,Pohnpeian,Pohnpeian,English,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,3,1,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,4,3,3,3,3,2,3,3,2,"distinguished, meaningful, traditional, useful, flexile","complex, self serving, confusing, universal, threatening"
33,45 -- 54,Female,Pohnpei State,Pohnpei,Kolonia,FSM,Nett,Dolonier,40 or more years,40 or more years,20 - 29 years,Yes,Michigan 3 years and New Mexico 3 year,Bachelor's degree,Public school,Public school,1,Human Resources Specialist,housewife,boat driver for public schools,"U, Pohnpei","sokehs, Pohnpei",Pohnpiean,Mokilese and English,,Well,Pohnpeian and Mokilese,"Mortlockese, Pohnpeian and Mokilese",Pohnpeian and English,English,Pohnpeian and some English,English,English,"Pohnpeian, Mokilese, some English","depends: Pohnpeian, Mokilese and English",English,English,English,Pohnpeian and Mokilese,English,English,English,Pohnpeian,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Other,English,Pohnpeian,Pohnpeian,English,English,English,English,Pohnpeian,Pohnpeian,English,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,2,1,2,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3,2,3,3,2,,
34,25 -- 34,Male,Pohnpei State,Pohnpei,Kipar,FSM,Kitti,Kipar,20 - 29 years,20 - 29 years,0 - 4 years,Yes,"Turkey (2 weeks), USA (5 years), Fiji (2 months)",Bachelor's degree,Public school,Private school,1,Natural Resource Management,Classroom Teacher,Director of Pohnpei State Department of Land and Natural Resources,"Kitti, Pohnpei","Kitti, Pohnpei",Pohnpeian,English,Mortlockese,Very well,"Pohnpeian, English","Pohnpeian, English","Pohnpeian, English, Chinese",Chinese,Pohnpeian/English,English,English,Pohnpeian,"Pohnpeian, English",English,Pohnpeian,"Pohnpeian, English",Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,English,English,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,2,1,2,3,2,2,2,2,3,3,3,2,2,1,4,2,2,3,3,3,3,3,2,3,3,1,"Respectful, heritage, identity, cultral, traditional","Foreign, intervention, threat, prosperity, modern"
35,35 -- 44,Female,Chuuk State,Sokehs,Soledi,FSM,Sokehs,Soledi,40 or more years,40 or more years,40 or more years,Yes,"Japan (4 weeks), India (6-weeks), Hilo, HI (3-weeks), Philippine (1-day), Hong Kong (1-day)",Associate degree,Public school,Public school,3,Secretary/Human Resources,Housewife,Philatelic Specialist at FSM Post Office,"Sapou Uman Island, Chuuk State","Soledi Sokehs, Pohnpei State","Chuukese, Mortlockese",Pohnpeian & English,None,Somewhat well,Chuukese,Mortlockese,"Mortlockese, Pohnpeian, & English",Pohnpeian & English,Pohnpeian and English,English,English,Mortlockese & Pohnpeian,Mortlockese & Pohnpeian,English,Pohnpeian & English,"Mortlockese, Pohnpeian, & English",Mortlockese & Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Chuukese,Chuukese,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,2,1,3,3,3,3,3,3,2,2,3,2,2,2,4,2,2,2,4,3,3,4,2,4,4,3,easy,universal
37,35 -- 44,Female,Pohnpei State,Pohnpei,Pingelap,FSM,Sokehs,Sapwoahn,30 - 39 years,30 - 39 years,30 - 39 years,Yes,"Australia - 1.5 yrs; Maquoketa, IA - 3 months ",Master's degree,Public school,Public school,2,Associate Professor,Teacher,Administrator for Dept. Of Education,"Pingelap, Pohnpei","Pingelap, Pohnpei",Pingelapese,"Pohnpeian,  English",Mwoakillese,Somewhat well,same as me,Similar and Kosraen,"Pingelapese, Mwoakillese, Pohnpeian and English",Pohnpeian,Pohnpeian,English,English,Pingelapese,"Pingelapese, and Pohnpeian and English",English,English,"Pingelapese, Pohnpeian & English",Pingelapese,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,English,Pohnpeian,Pingelapese,Pingelapese,Pingelapese,Pingelapese,Pohnpeian,Pingelapese,English,English,Pingelapese,Pingelapese,Pingelapese,Pingelapese,Pingelapese,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,1,3,4,4,4,4,1,4,4,1,"Wahu, Deep, Culture, Meing, Difficult","Descriptive, Poetic, Deep, Hard, Semantics"
38,45 -- 54,Female,Pohnpei State,Pohnpei,Danpei,FSM,Nett,Dolonier,20 - 29 years,20 - 29 years,5 - 9 years,Yes,"Oregon and 17 years, Vanuatu 4 years, Fiji 6 months","Professional degree (JD, MD, etc.)",Private school,Private school,1,Legal Assistant,Teacher,State Public Auditor,"Pohnpei, Nett","Pohnpei, Sokehs",Mwoakilloa,English,Pohnpeian,Not at all,"Mwoakilloa, Pohnpeian, Kosraean, English","Mwoakilloa, Pohnpeian, English",English,Pohnpeian,English,English,English,Mwoakilloa,English,English,English,English,Mwoakilloa,English,English,English,English,English,English,English,English,English,Pohnpeian,English,Pohnpeian,Mokilese,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,English,Mokilese,Pohnpeian,Pohnpeian,Mokilese,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,3,1,3,3,1,1,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,1,3,3,1,"Hard, Fluent, Interesting, Complicated, Culture","Easy, Fluent, Hard, Complicated, American"
39,35 -- 44,Female,Pohnpei State,Pohnpei,MESIHSOU,FSM,Madolenihmw,UH,10 - 19 years,40 or more years,10 - 19 years,No,,Associate degree,Public school,Public school,3,ARCHIVIST AND RECORD SPECIALIST,N/A,N/A,MADOLENIHMW MESIHSOU,MADOLENIHMW MESIHSOU,POHNPEI,ENGLISH ,MWOKILOA,Not at all,POHNPEI,POHNPEI,POHNPEI ,POHNPEI,ENGLISH AND POHNPEI ,ENGLISH,ENGLISH,POHNPEI,POHNPEI,ENGLISH,ENGLISH AND POHNPEI ,POHNPEI,POHNPEI,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"KOHDO, KITA, MWONGE, SOHRI, COMPUTER","USE,RICE. COMB, SORRY, CANDY"
40,35 -- 44,Female,RMI,Pohnpei,Kitti,FSM,Kitti,Pehleng,40 or more years,40 or more years,,Yes,Guam 2 years,Associate degree,Public school,Public school,5,Clerk typist2,none,none,pohnpei kitti,pohnpei sokehs,pohnpei,"poehnpei , mokillese , pingelapese","kosraen ,",Very well,pohnpei,pohnpei,pohnpei,english,pohnpeian,"english,and pohnpei",english,pohnpei,"pohnpei,english",english,english,english,pohnpei,English,Pohnpeian,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,English,Pohnpeian,English,English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,1,1,3,2,2,3,1,3,3,1,,
